fund_id,fund_name,fund_type,sub_category,risk_level,expense_ratio_pct,AUM_crores,inception_date,benchmark,return_3yr_pct,return_5yr_pct,return_10yr_pct,volatility_3yr_pct,alpha_3yr_pct,beta_3yr,avg_annual_return_pct,min_investment_rs,exit_load_pct,description,recommended_for,tax_treatment
HY024,Income Allocation Hybrid X,Hybrid,Conservative Hybrid,Low,0.60,1400,2015-11-12,NIFTY Conservative Hybrid,6.6,6.2,6.1,3.2,0.37,0.18,6.2,5000,0.5,"Stable hybrid generating steady income.","Retirees",Debt LTCG
HY025,Hybrid Balanced Core Y,Hybrid,Balanced Hybrid,Moderate-High,1.15,2600,2012-04-10,NIFTY Hybrid 50:50,10.8,10.1,10.5,11.9,1.8,0.78,10.5,5000,1.0,"Diversified 50:50 model.","Medium-high risk profiles",Equity LTCG
HY026,Hybrid Equity Edge Z,Hybrid,Equity Savings,Low-Moderate,0.70,2300,2016-12-04,NIFTY Equity Savings,8.1,7.5,7.0,3.6,0.56,0.27,7.6,5000,0.5,"Low volatility hybrid for beginners.","New investors",Equity taxation
HY027,Dynamic Multi Asset AA,Hybrid,Multi Asset,Moderate,1.12,3200,2011-05-11,NIFTY Multi Asset,10.0,9.7,9.9,9.5,1.8,0.74,9.9,5000,1.0,"Dynamic allocation across equity, debt, gold.","Long-term diversified investors",Mixed tax
HY028,Hybrid Secure Income AB,Hybrid,Conservative Hybrid,Low,0.57,1550,2014-07-12,NIFTY Conservative Hybrid,6.4,6.1,6.0,3.2,0.36,0.18,6.1,5000,0.5,"High-quality debt + marginal equity.","Low-risk investors",Debt LTCG
HY029,Aggressive Hybrid Alpha AC,Hybrid,Aggressive Hybrid,High,1.32,3000,2012-03-14,NIFTY Aggressive Hybrid,12.6,11.4,11.7,14.6,2.2,0.96,11.7,5000,1.0,"High growth potential.","High-risk investors",Equity LTCG
HY030,Hybrid Tactical Balance AD,Hybrid,Balanced Advantage,Moderate,1.03,7000,2013-03-25,NIFTY Hybrid 50:50,9.9,9.3,9.5,8.9,1.6,0.67,9.4,5000,1.0,"Tactical allocation strategy.","Medium-risk investors",Equity taxation
HY031,Stable Hybrid Growth AE,Hybrid,Conservative Hybrid,Low,0.62,1500,2015-06-12,NIFTY Conservative Hybrid,6.7,6.3,6.2,3.2,0.39,0.19,6.3,5000,0.5,"Low volatility hybrid.","Capital preservation",Debt LTCG
HY032,Global Multi Hybrid AF,Hybrid,Multi Asset,Moderate-High,1.20,1800,2016-11-10,NIFTY Multi Asset,10.5,10.1,10.2,10.5,1.8,0.80,10.2,5000,1.0,"Includes global ETFs + domestic assets.","Global diversification",Mixed tax
HY033,Arbitrage Edge Hybrid AG,Hybrid,Equity Savings/Arbitrage,Low,0.42,2900,2017-05-13,NIFTY Arbitrage,5.3,5.2,5.0,1.1,0.12,0.06,5.2,1000,0.2,"Low-risk arbitrage strategy.","Short-term investors",Equity taxation
HY034,Hybrid Strategic Growth AH,Hybrid,Aggressive Hybrid,High,1.28,3900,2012-08-03,NIFTY Aggressive Hybrid,12.2,11.3,11.6,13.9,2.0,0.88,11.6,5000,1.0,"Equity-heavy hybrid.","Long-term investors",Equity LTCG
HY035,Income Oriented Hybrid AI,Hybrid,Conservative Hybrid,Low,0.58,1650,2014-01-14,NIFTY Conservative Hybrid,6.5,6.2,6.1,3.1,0.35,0.18,6.1,5000,0.5,"Stable income generation.","Retirees",Debt LTCG
HY036,Hybrid Balanced Shield AJ,Hybrid,Balanced Hybrid,Moderate,1.12,2400,2013-10-15,NIFTY Hybrid 50:50,10.3,9.8,10.0,10.9,1.7,0.75,10.0,5000,1.0,"Balanced risk return.","Medium-term investors",Equity taxation
HY037,Dynamic Hybrid High AK,Hybrid,Aggressive Hybrid,High,1.30,3100,2012-04-13,NIFTY Aggressive Hybrid,12.7,11.6,11.8,15.0,2.2,0.96,11.8,5000,1.0,"High equity allocation.","High-risk profiles",Equity LTCG
HY038,Arbitrage Tactical Hybrid AL,Hybrid,Equity Savings/Arbitrage,Low,0.44,2600,2017-03-12,NIFTY Arbitrage,5.4,5.2,5.1,1.2,0.10,0.06,5.2,1000,0.2,"Pure arbitrage fund.","Low-risk, tax-efficient parking",Equity taxation
HY039,Hybrid Growth Construction AM,Hybrid,Balanced Advantage,Moderate,1.06,6800,2013-09-18,NIFTY Hybrid 50:50,10.0,9.4,9.6,8.8,1.6,0.68,9.6,5000,1.0,"Moderate volatility with growth.","Long-term stability",Equity taxation
HY040,Stable Hybrid Alpha AN,Hybrid,Conservative Hybrid,Low,0.61,1300,2015-10-21,NIFTY Conservative Hybrid,6.4,6.1,6.0,3.1,0.36,0.17,6.1,5000,0.5,"Low-risk hybrid.","Preservation + small equity growth",Debt LTCG
HY041,Advanced Growth Hybrid AO,Hybrid,Aggressive Hybrid,High,1.33,3800,2011-06-10,NIFTY Aggressive Hybrid,12.9,11.8,12.0,15.4,2.3,0.98,12.0,5000,1.0,"High equity for strong compounding.","Young aggressive investors",Equity LTCG
HY042,Hybrid Balanced Prime AP,Hybrid,Balanced Hybrid,Moderate-High,1.14,2600,2012-07-20,NIFTY Hybrid 50:50,10.6,9.9,10.3,11.7,1.8,0.78,10.3,5000,1.0,"Classic balanced hybrid.","Growth + safety",Equity LTCG
HY043,Equity Savings Smart AQ,Hybrid,Equity Savings,Low-Moderate,0.66,2700,2015-03-18,NIFTY Equity Savings,8.0,7.5,7.3,3.7,0.55,0.26,7.5,5000,0.5,"Low volatility hybrid.","Beginners & low-risk investors",Equity rules
HY044,Global Multi Asset AR,Hybrid,Multi Asset,Moderate,1.25,2100,2016-10-05,NIFTY Multi Asset,10.2,9.9,10.1,10.1,1.9,0.80,10.1,5000,1.0,"Multi-country diversification.","Global-focused investors",Mixed tax
HY045,Hybrid Income Prime AS,Hybrid,Conservative Hybrid,Low,0.58,1400,2014-02-12,NIFTY Conservative Hybrid,6.5,6.1,6.0,3.2,0.35,0.18,6.1,5000,0.5,"Capital stable hybrid.","Retirement portfolios",Debt LTCG
HY046,Hybrid Balanced Elite AT,Hybrid,Balanced Hybrid,Moderate-High,1.16,2700,2013-08-14,NIFTY Hybrid 50:50,10.9,10.2,10.4,12.2,1.9,0.82,10.4,5000,1.0,"Equity-debt balance.","Mid-risk investors",Equity LTCG
HY047,Aggressive Hybrid Supreme AU,Hybrid,Aggressive Hybrid,High,1.34,3100,2011-11-03,NIFTY Aggressive Hybrid,12.5,11.3,11.7,14.7,2.1,0.94,11.7,5000,1.0,"Growth-focused hybrid.","High-risk long-term",Equity LTCG
HY048,Hybrid Secure Saver AV,Hybrid,Equity Savings,Low,0.62,2400,2016-05-10,NIFTY Equity Savings,7.9,7.3,7.2,3.4,0.54,0.24,7.3,5000,0.5,"Low volatility hybrid.","Conservative beginners",Equity taxation
HY049,Dynamic Balanced Hybrid AW,Hybrid,Balanced Advantage,Moderate,1.07,6900,2013-09-29,NIFTY Hybrid 50:50,10.3,9.4,9.6,8.9,1.6,0.68,9.6,5000,1.0,"Dynamic allocation.","Medium-risk investors",Equity rules
HY050,Ultra Hybrid Growth AX,Hybrid,Aggressive Hybrid,High,1.38,3500,2011-02-13,NIFTY Aggressive Hybrid,13.0,11.8,12.2,15.8,2.4,1.00,12.2,5000,1.0,"Highest growth hybrid.","High-risk long horizon",Equity LTCG
