fund_id,fund_name,fund_type,sub_category,risk_level,expense_ratio_pct,AUM_crores,inception_date,benchmark,return_3yr_pct,return_5yr_pct,return_10yr_pct,volatility_3yr_pct,alpha_3yr_pct,beta_3yr,avg_annual_return_pct,min_investment_rs,exit_load_pct,description,recommended_for,tax_treatment
EQ011,Growth & Income Fund K,Equity,Multi Cap,Moderate,1.05,880,2013-12-01,NIFTY 500,14.0,12.2,12.7,16.0,1.0,1.05,13.0,5000,1.0,"Blend of growth and dividend-paying stocks to balance returns and income.","Investors seeking growth with some income",Equity: LTCG taxable above ₹1L @10% without indexation
EQ012,Thematic Healthcare Fund L,Equity,Sectoral - Healthcare,High,1.65,430,2018-03-18,NIFTY Healthcare,19.8,16.5,13.2,25.8,1.9,1.40,17.0,5000,2.0,"Concentrated allocations to healthcare services, pharma, and biotech stocks.","Investors bullish on healthcare megatrends",Equity: LTCG taxable above ₹1L @10% without indexation
EQ013,Small & Mid Blend Fund M,Equity,Small & Mid Cap,High,1.70,640,2015-10-05,NIFTY SmallMid Cap 250,26.5,22.7,17.5,33.3,2.2,1.60,21.0,5000,1.5,"Balanced exposure to promising small and mid-sized companies with growth potential.","Aggressive growth-seeking investors",Equity: LTCG taxable above ₹1L @10% without indexation
EQ014,Global Equity Fund N,Equity,International,High,1.50,980,2014-06-20,MSCI World,15.6,13.0,11.0,20.5,1.4,1.25,13.5,5000,1.0,"Invests in diversified global equities to give international exposure and hedging benefits.","Investors wanting geographic diversification",Equity: LTCG taxable above ₹1L @10% without indexation (foreign income rules apply)
EQ015,Smart Beta Fund O,Equity,Factor - Low Volatility,Moderate,1.10,560,2017-11-30,NIFTY 500 Low Volatility,12.0,10.5,9.8,11.0,0.7,0.85,10.8,5000,1.0,"Factor-based fund targeting lower volatility stocks while keeping growth potential.","Risk-aware investors preferring smoother equity returns",Equity: LTCG taxable above ₹1L @10% without indexation
EQ016,Value Leaders Fund P,Equity,Large Cap,Moderate,1.00,880,2012-02-14,NIFTY 50,11.2,10.5,12.0,12.8,0.55,0.93,10.7,5000,1.0,"Value-oriented large-cap fund focusing on high-quality undervalued companies.","Long-term investors preferring stable value",Equity: LTCG taxable above ₹1L @10% without indexation
EQ017,Alpha Midcap Fund Q,Equity,Mid Cap,High,1.65,730,2015-03-10,NIFTY Midcap 150,22.6,19.4,16.0,29.8,1.9,1.42,19.5,5000,1.5,"Actively managed midcap fund targeting high growth mid-sized firms.","Aggressive investors with 5–7+ year horizon",Equity: LTCG taxable above ₹1L @10% without indexation
EQ018,Smallcap Discovery Fund R,Equity,Small Cap,Very High,1.90,410,2016-08-22,NIFTY Smallcap 250,33.1,27.6,19.2,40.1,2.6,1.70,25.4,5000,2.0,"High-conviction smallcap fund investing in early-stage growth companies.","Highly aggressive investors",Equity: LTCG taxable above ₹1L @10% without indexation
EQ019,Flexi Growth Fund S,Equity,Flexi Cap,High,1.30,1020,2014-11-05,NIFTY 500,15.0,13.4,12.1,18.2,1.2,1.12,13.3,5000,1.0,"Flexible allocation across market caps based on valuation and opportunities.","Investors seeking active multi-cap exposure",Equity: LTCG taxable above ₹1L @10% without indexation
EQ020,Dividend Aristocrats Fund T,Equity,Large Cap,Moderate,0.95,650,2011-09-28,NIFTY Dividend Opportunities,10.1,9.2,11.0,11.8,0.50,0.90,9.8,5000,1.0,"Focuses on firms with consistent dividend track record and stable cash flows.","Income-oriented equity investors",Equity: LTCG taxable above ₹1L @10% without indexation
EQ021,Technology Innovation Fund U,Equity,Sectoral - Technology,Very High,1.80,980,2013-06-15,NIFTY IT,27.4,21.7,16.5,37.0,2.3,1.55,21.8,5000,2.0,"Concentrated sectoral fund invested in software, IT services and tech-enabled businesses.","Investors bullish on technology and innovation",Equity: LTCG taxable above ₹1L @10% without indexation
EQ022,Healthcare Growth Fund V,Equity,Sectoral - Healthcare,High,1.70,520,2017-02-02,NIFTY Healthcare,18.9,15.8,13.8,24.6,1.7,1.35,15.6,5000,2.0,"Invests in pharmaceutical, healthcare services and biotech companies with secular demand.","Investors seeking exposure to healthcare megatrends",Equity: LTCG taxable above ₹1L @10% without indexation
EQ023,Quality Compounders Fund W,Equity,Multi Cap,Moderate,1.15,880,2012-10-11,NIFTY 500,14.6,13.0,13.5,17.4,1.1,1.08,13.6,5000,1.0,"Invests in high ROE firms with sustainable competitive advantages for compounding returns.","Long-term growth investors preferring quality",Equity: LTCG taxable above ₹1L @10% without indexation
EQ024,Global Emerging Markets Fund X,Equity,International,High,1.50,640,2015-07-19,MSCI EM,16.0,13.1,10.5,21.0,1.4,1.30,13.2,5000,1.5,"Provides exposure to emerging market equities outside India for diversification.","Investors seeking international diversification",Equity: LTCG taxable above ₹1L @10% without indexation; foreign tax rules apply
EQ025,Infrastructure Builder Fund Y,Equity,Sectoral - Infra,High,1.65,420,2016-04-12,NIFTY Infrastructure,20.2,17.0,14.0,28.5,1.8,1.45,17.3,5000,2.0,"Concentrated fund investing in infrastructure, logistics and capital goods sectors.","Investors bullish on long-term infra capex cycles",Equity: LTCG taxable above ₹1L @10% without indexation
EQ026,ESG Value Fund Z,Equity,Large Cap,Moderate,1.05,710,2013-01-20,NIFTY 100 ESG,13.2,11.4,10.9,15.2,0.9,0.97,11.8,5000,1.0,"Invests in companies with strong ESG practices while retaining value disciplines.","Sustainable investors seeking value and ESG alignment",Equity: LTCG taxable above ₹1L @10% without indexation
EQ027,Alpha Small & Mid Blend AA,Equity,Small & Mid Cap,High,1.75,560,2015-12-01,NIFTY SmallMidCap 250,28.3,23.9,17.8,34.7,2.1,1.60,22.1,5000,1.5,"Blend fund combining small and midcap exposures to harness growth with risk controls.","Investors aiming for higher returns with diversified small/mid exposure",Equity: LTCG taxable above ₹1L @10% without indexation
EQ028,Low Volatility Equity Fund AB,Equity,Factor - Low Volatility,Moderate,1.10,480,2016-06-14,NIFTY Low Volatility,11.0,10.2,9.6,10.5,0.6,0.88,10.2,5000,1.0,"Factor-based fund selecting lower volatility stocks to smooth returns.","Risk-aware investors seeking smoother equity exposure",Equity: LTCG taxable above ₹1L @10% without indexation
EQ029,Smart Momentum Fund AC,Equity,Factor - Momentum,High,1.40,530,2017-10-09,NIFTY 500 Momentum,17.6,15.0,12.5,21.8,1.3,1.20,15.2,5000,1.5,"Systematic momentum strategy across caps to capture trending stocks.","Tactical investors seeking factor exposure",Equity: LTCG taxable above ₹1L @10% without indexation
EQ030,Large Cap Core Fund AD,Equity,Large Cap,Moderate,0.90,1400,2009-08-18,NIFTY 50,12.0,11.0,12.5,13.5,0.7,0.98,11.2,5000,1.0,"Core large-cap holdings aimed at delivering stable long-term returns with moderate risk.","Core portfolio building block for long-term investors",Equity: LTCG taxable above ₹1L @10% without indexation
EQ031,Consumer Staples Fund AE,Equity,Sectoral - Consumer,Moderate,1.20,520,2014-03-21,NIFTY FMCG,12.5,11.3,10.7,14.8,0.8,1.02,11.4,5000,1.5,"Invests in consumer staples and defensive businesses with steady demand cycles.","Investors seeking defensive sector exposure",Equity: LTCG taxable above ₹1L @10% without indexation
EQ032,Emerging Leaders Fund AF,Equity,Mid Cap,High,1.70,610,2016-01-05,NIFTY Midcap 150,23.0,20.0,17.0,31.2,1.9,1.40,19.8,5000,1.5,"Targets emerging market leaders with scalable business models and improving margins.","Growth investors with medium/long horizon",Equity: LTCG taxable above ₹1L @10% without indexation
EQ033,Thematic Energy Transition Fund AG,Equity,Sectoral - Energy,High,1.80,440,2018-05-10,NIFTY Energy,21.7,18.4,14.6,30.0,1.7,1.50,17.8,5000,2.0,"Invests in companies enabling energy transition and clean tech adoption.","Investors focused on thematic long-term secular shifts",Equity: LTCG taxable above ₹1L @10% without indexation
EQ034,High Conviction Fund AH,Equity,Multi Cap,High,1.35,700,2013-09-30,NIFTY 500,16.8,15.0,13.2,19.6,1.2,1.15,14.9,5000,1.5,"Concentrated portfolio of high-conviction picks across caps by seasoned managers.","Investors comfortable with concentrated risk for higher returns",Equity: LTCG taxable above ₹1L @10% without indexation
EQ035,International Tech & Growth Fund AI,Equity,International,High,1.55,820,2015-11-25,MSCI World Tech,17.9,15.0,12.0,22.5,1.4,1.30,14.6,5000,1.5,"Global technology-focused equities to capture cross-border innovation exposure.","Investors seeking global tech diversification",Equity: LTCG taxable above ₹1L @10% without indexation; foreign tax rules apply
EQ036,Midcap Value Fund AJ,Equity,Mid Cap,High,1.60,460,2017-03-08,NIFTY Midcap 150,20.5,18.0,15.5,27.8,1.6,1.35,17.8,5000,1.5,"Midcap value-focused strategy selecting undervalued mid-sized firms with turnaround potential.","Investors seeking value in mid-cap segment",Equity: LTCG taxable above ₹1L @10% without indexation
EQ037,Consumer Discretionary Fund AK,Equity,Sectoral - Consumer Discretionary,High,1.70,350,2018-07-16,NIFTY Consumption,19.2,16.5,13.8,26.5,1.5,1.40,15.9,5000,2.0,"Targets discretionary consumption companies benefiting from rising consumer demand.","Investors bullish on consumption-driven growth",Equity: LTCG taxable above ₹1L @10% without indexation
EQ038,Long Term Growth Fund AL,Equity,Large Cap,Moderate,1.05,940,2010-05-26,NIFTY 100,13.0,12.0,13.0,14.0,0.8,1.00,12.3,5000,1.0,"Long-term oriented fund focusing on durable growth companies across sectors.","Buy-and-hold investors focused on multi-year compounding",Equity: LTCG taxable above ₹1L @10% without indexation
EQ039,Smart Allocation Fund AM,Equity,Flexi Cap,Moderate,1.20,690,2014-12-02,NIFTY 500,14.2,12.6,11.8,16.4,1.0,1.08,12.6,5000,1.0,"Dynamically allocates across caps using valuation signals and risk filters.","Investors preferring active allocation without concentrated bets",Equity: LTCG taxable above ₹1L @10% without indexation
EQ040,Quant Alpha Fund AN,Equity,Quantitative,Moderate,1.25,510,2016-09-09,NIFTY 100 Quant,15.6,13.8,12.0,17.5,1.12,1.10,13.8,5000,1.0,"Systematic quantitative models driving stock selection and risk controls.","Investors open to rules-based strategies and factor exposure",Equity: LTCG taxable above ₹1L @10% without indexation
EQ041,High Growth Smallcap Fund AO,Equity,Small Cap,Very High,1.95,360,2017-01-20,NIFTY Smallcap 250,36.2,29.8,21.4,44.0,3.0,1.85,28.0,5000,2.0,"Aggressive smallcap fund focused on high-growth early-stage companies.","Very aggressive investors with 7+ year horizon",Equity: LTCG taxable above ₹1L @10% without indexation
EQ042,Bluechip Stars Fund AP,Equity,Large Cap,Low-Moderate,0.85,2100,2007-04-14,NIFTY 50,11.8,11.0,12.6,12.2,0.7,0.95,11.3,5000,0.5,"Concentrated portfolio of top bluechip companies offering stability and dividends.","Core allocation for conservative equity exposure",Equity: LTCG taxable above ₹1L @10% without indexation
EQ043,Energy & Commodities Fund AQ,Equity,Sectoral - Commodities,High,1.70,300,2018-02-21,NIFTY Commodities,22.4,18.9,13.7,30.5,1.8,1.55,17.9,5000,2.0,"Exposed to commodity-linked businesses and energy plays benefitting from cyclical upcycles.","Investors with thematic cyclical outlook",Equity: LTCG taxable above ₹1L @10% without indexation
EQ044,Special Situations Fund AR,Equity,Multi Cap,High,1.45,520,2013-05-19,NIFTY 500,18.0,15.5,13.0,22.9,1.4,1.25,15.4,5000,1.5,"Seeks opportunities in corporate actions, turnarounds and event-driven ideas for alpha generation.","Sophisticated investors seeking event-driven returns",Equity: LTCG taxable above ₹1L @10% without indexation
EQ045,Healthcare Innovation Midcap AS,Equity,Mid Cap,High,1.68,430,2016-11-30,NIFTY Midcap Healthcare,21.1,18.0,15.0,28.2,1.7,1.40,17.9,5000,1.5,"Midcap healthcare companies with innovation-led growth prospects.","Investors seeking midcap healthcare exposure",Equity: LTCG taxable above ₹1L @10% without indexation
EQ046,International Smallcap Fund AT,Equity,International Small Cap,Very High,1.75,280,2017-08-22,MSCI Small Cap ex-India,20.5,17.0,12.0,32.0,1.8,1.45,16.5,5000,1.5,"Invests in small-cap companies across developed and emerging markets for growth diversification.","Aggressive investors seeking global smallcap exposure",Equity: LTCG taxable above ₹1L @10% without indexation; foreign rules apply
EQ047,Consumer Services Fund AU,Equity,Sectoral - Services,Moderate,1.25,470,2014-06-03,NIFTY Services,13.5,12.0,11.0,16.5,0.9,1.05,12.3,5000,1.5,"Focuses on consumer services companies like retail, hospitality and e-commerce related firms.","Investors bullish on consumption services",Equity: LTCG taxable above ₹1L @10% without indexation
EQ048,Alpha Opportunities Fund AV,Equity,Multi Cap,High,1.40,590,2013-01-07,NIFTY 500,17.8,15.4,13.3,21.9,1.3,1.22,15.2,5000,1.5,"Active multi-cap strategy targeting alpha via bottom-up stock selection and sector rotation.","Investors seeking active alpha generation",Equity: LTCG taxable above ₹1L @10% without indexation
EQ049,Dividend Growth Fund AW,Equity,Large Cap,Moderate,0.98,620,2011-11-11,NIFTY Dividend Opportunities,11.0,10.0,10.8,12.0,0.6,0.92,10.4,5000,1.0,"Targets companies with growing dividends and sustainable payout ratios for income plus growth.","Investors seeking dividend income plus capital appreciation",Equity: LTCG taxable above ₹1L @10% without indexation
EQ050,Green Energy Fund AX,Equity,Sectoral - Renewable Energy,High,1.70,330,2018-10-01,NIFTY Renewable Energy,24.0,20.0,14.5,31.5,1.9,1.50,18.6,5000,2.0,"Invests in renewable energy producers, equipment makers and energy transition enablers.","Investors focused on green transition and decarbonization themes",Equity: LTCG taxable above ₹1L @10% without indexation
EQ051,Balanced Growth Fund AY,Equity,Multi Cap,Moderate,1.18,710,2012-07-20,NIFTY 500,14.4,13.0,12.0,17.0,1.0,1.08,13.2,5000,1.0,"Blend of growth and value stocks across market caps to deliver steady compounding.", "Long-term growth investors seeking stability",Equity: LTCG taxable above ₹1L @10% without indexation
EQ052,Technology Midcap Fund AZ,Equity,Mid Cap - Technology,High,1.72,390,2016-04-16,NIFTY Midcap Tech,26.0,22.0,16.0,33.5,2.0,1.60,21.0,5000,1.5,"Midcap technology companies with scalable product-led growth models.","Aggressive investors targeting tech growth in midcap space",Equity: LTCG taxable above ₹1L @10% without indexation
EQ053,Value & Yield Fund BA,Equity,Large Cap,Moderate,1.00,540,2013-03-12,NIFTY 100,12.2,11.0,11.5,13.2,0.7,0.98,11.1,5000,1.0,"Combines value investing with dividend yield focus to produce steady returns.","Investors seeking income plus moderate growth",Equity: LTCG taxable above ₹1L @10% without indexation
EQ054,Emerging Tech Fund BB,Equity,Sectoral - Technology,Very High,1.85,450,2018-12-05,NIFTY IT,29.5,24.0,16.5,39.2,2.4,1.65,23.3,5000,2.0,"High-conviction exposure to niche and emerging technology companies.","Very aggressive investors with sectoral conviction",Equity: LTCG taxable above ₹1L @10% without indexation
EQ055,India Growth Fund BC,Equity,Large Cap,Moderate,1.08,980,2010-01-15,NIFTY 50,13.8,12.5,12.9,15.0,0.9,1.02,12.4,5000,1.0,"Diversified large-cap growth fund investing in sectors poised for secular expansion.","Long-term investors seeking broad India growth exposure",Equity: LTCG taxable above ₹1L @10% without indexation
EQ056,Mid & Small Opportunity Fund BD,Equity,Small & Mid Cap,High,1.78,610,2015-05-30,NIFTY SmallMidCap 250,27.4,23.0,17.2,35.0,2.2,1.62,21.5,5000,1.5,"Combined small and midcap approach to capture multi-segment growth opportunities.","Aggressive investors with long horizon",Equity: LTCG taxable above ₹1L @10% without indexation
EQ057,Global Consumer Fund BE,Equity,International,Moderate,1.45,720,2014-08-08,MSCI World Consumer,15.4,13.0,11.0,19.5,1.1,1.10,13.1,5000,1.0,"Global consumer goods and services companies offering structural demand resilience.","Investors diversifying internationally into consumer sector",Equity: LTCG taxable above ₹1L @10% without indexation; foreign rules apply
EQ058,Opportunistic Alpha Fund BF,Equity,Multi Cap,High,1.55,560,2013-11-23,NIFTY 500,18.6,16.2,14.0,23.0,1.5,1.25,15.8,5000,1.5,"Opportunistic multi-cap strategy capturing market inefficiencies and high-conviction bets.","Investors seeking above-market alpha with tolerance for drawdowns",Equity: LTCG taxable above ₹1L @10% without indexation
EQ059,Structured Growth Fund BG,Equity,Large Cap,Moderate,1.12,640,2011-02-02,NIFTY 100,12.6,11.4,12.0,13.8,0.8,1.00,11.8,5000,1.0,"Measured growth fund combining core holdings and selective growth stocks for steadier returns.","Investors preferring structured growth with limited volatility",Equity: LTCG taxable above ₹1L @10% without indexation
EQ060,Asia Pacific Fund BH,Equity,International - Asia,High,1.48,420,2016-10-11,MSCI Asia Pacific,17.2,14.0,11.0,22.1,1.3,1.28,13.5,5000,1.5,"Exposure to equities across Asia Pacific markets to capture regional growth dynamics.","Investors seeking regional international exposure",Equity: LTCG taxable above ₹1L @10% without indexation; foreign rules apply
EQ061,Emerging Consumer Fund BI,Equity,Mid Cap,High,1.68,380,2017-06-18,NIFTY Midcap Consumption,22.0,19.0,15.0,29.0,1.7,1.40,18.5,5000,1.5,"Midcap firms benefitting from rising domestic consumption and discretionary spending.","Investors targeting consumption-led midcap growth",Equity: LTCG taxable above ₹1L @10% without indexation
EQ062,Quant Defensive Fund BJ,Equity,Quantitative - Low Risk,Moderate,1.05,470,2015-09-29,NIFTY Low Volatility,11.4,10.6,10.0,10.8,0.6,0.88,10.6,5000,1.0,"Quant-driven portfolio emphasizing low beta and downside controls for equities.","Risk-conscious investors preferring downside protection",Equity: LTCG taxable above ₹1L @10% without indexation
EQ063,High Yield Growth Fund BK,Equity,Small Cap,Very High,1.92,340,2018-03-04,NIFTY Smallcap 250,34.0,28.0,20.0,41.0,2.7,1.78,26.0,5000,2.0,"Aggressive smallcap fund chasing high growth stories across sectors.","Very aggressive investors seeking outsized returns",Equity: LTCG taxable above ₹1L @10% without indexation
EQ064,Core & Satellite Fund BL,Equity,Multi Cap,Moderate,1.20,680,2014-01-12,NIFTY 500,15.0,13.5,12.4,17.8,1.1,1.12,13.4,5000,1.0,"Core portfolio of stable large caps with satellite allocations to growth mid/small ideas.","Investors wanting diversified core-plus-satellite exposure",Equity: LTCG taxable above ₹1L @10% without indexation
EQ065,Long Horizon Growth Fund BM,Equity,Large Cap,Moderate,1.03,900,2009-10-06,NIFTY 50,13.6,12.4,13.0,14.6,0.9,1.01,12.6,5000,1.0,"Designed for long-horizon investors seeking steady compounding from large, quality companies.","Retirement and long-term wealth builders",Equity: LTCG taxable above ₹1L @10% without indexation
