fund_id,fund_name,fund_type,sub_category,risk_level,expense_ratio_pct,AUM_crores,inception_date,benchmark,return_3yr_pct,return_5yr_pct,return_10yr_pct,volatility_3yr_pct,alpha_3yr_pct,beta_3yr,avg_annual_return_pct,min_investment_rs,exit_load_pct,description,recommended_for,tax_treatment
DT023,Short Maturity PSU Fund W,Debt,PSU Short Duration,Low,0.44,1120,2014-09-05,CRISIL PSU,6.0,5.8,5.9,3.0,0.12,0.28,5.8,5000,0.5,"Short duration fund with PSU and bank exposure.","Safe medium yield investment",Debt: Slab + LTCG indexation
DT024,Inflation Protected Bond Fund X,Debt,Inflation Linked,Low-Moderate,0.58,500,2015-12-03,CRISIL ILB,5.6,5.9,6.2,6.1,0.10,0.42,5.9,5000,1.0,"Government-backed inflation-linked bonds preserving real returns.","Investors wanting inflation hedge",Debt: Indexation applies after 3 years
DT025,Medium Duration Ladder Fund Y,Debt,Medium Duration,Moderate,0.75,890,2013-03-18,CRISIL Composite Bond,7.2,7.0,7.1,6.8,0.25,0.55,7.0,5000,1.0,"Creates a ladder of staggered maturity papers for reinvestment risk reduction.","Investors wanting predictable medium-term returns",Debt: LTCG with indexation
DT026,Income Builder Fund Z,Debt,Income Fund,Moderate,0.80,700,2011-05-22,CRISIL Income,7.5,7.0,7.2,5.9,0.28,0.52,7.3,5000,1.0,"Focuses on generating steady interest income through diversified high-quality papers.","Income-seeking conservative investors",Debt: LTCG with indexation
DT027,Long Duration Bond Fund AA,Debt,Long Duration,Moderate-High,0.90,630,2010-10-11,CRISIL Long Duration,8.9,9.2,9.4,12.0,0.40,1.05,8.8,5000,1.0,"Interest-rate sensitive long-term government bonds.","Investors positioning for falling rates",Debt: LTCG with indexation
DT028,Ultra Short Treasury Fund AB,Debt,Ultra Short,Low,0.22,2400,2016-04-14,CRISIL Ultra Short,5.0,4.9,4.7,1.7,0.08,0.20,4.9,1000,0.0,"Park surplus funds for few months with low duration risk.","Corporate treasury and individuals",Debt: Slab-based taxation
DT029,Corporate Yield Booster AC,Debt,Corporate Bond,Moderate,0.72,1650,2013-06-19,CRISIL Corporate Bond,7.6,7.3,7.5,5.1,0.30,0.47,7.4,5000,1.0,"Higher-yielding AA-rated corporate papers balancing credit risk and return.","Yield seekers with moderate risk appetite",Debt: LTCG with indexation
DT030,PSU Gilts Provident Fund AD,Debt,Gilt,Low,0.42,950,2010-04-22,CRISIL Gilt,6.2,6.1,6.3,4.8,0.15,0.35,6.1,5000,1.0,"Government security-focused safe gilt portfolio with minimal default risk.","Risk-averse fixed income investors",Debt: Indexation after 3 years
DT031,Floating Rate Income Fund AE,Debt,Floating Rate,Low-Moderate,0.50,430,2018-03-11,CRISIL FRD,6.3,6.0,5.9,3.5,0.18,0.40,6.0,5000,1.0,"Floating-rate papers reducing sensitivity to interest-rate movements.","Investors in rising rate environments",Debt: Slab-based taxation + LTCG indexation
DT032,Government Securities 30Y AF,Debt,Long Gilt,High,0.60,320,2017-10-08,CRISIL Long Gilt,9.1,9.5,9.8,14.5,0.45,1.20,9.3,5000,1.5,"30-year maturity government bonds offering high duration and volatility.","Advanced investors speculating on rate cycles",Debt: LTCG with indexation
DT033,Short Corporate Ladder AG,Debt,Short Duration,Low,0.35,860,2014-05-20,CRISIL Short Duration,6.1,5.9,5.8,3.1,0.12,0.25,5.9,5000,0.5,"Short ladder corporate strategy minimizing reinvestment risk.","Low-risk short-term investors",Debt: Slab + LTCG indexation
DT034,Medium Corporate Fund AH,Debt,Medium Duration,Moderate,0.65,780,2013-09-22,CRISIL Composite Bond,7.0,6.9,7.0,6.0,0.22,0.50,6.9,5000,1.0,"Diversified mix of corporate bonds for medium horizon.","3–5 year investors",Debt: LTCG with indexation
DT035,Priority Sector Bond Fund AI,Debt,PSU/Banks,Low,0.48,430,2015-11-15,CRISIL Banking&PSU,6.4,6.2,6.4,4.2,0.20,0.38,6.3,5000,0.5,"Invests in priority sector allocation bonds.","Safe-income investors",Debt: Slab + LTCG indexation
DT036,Tactical Duration Fund AJ,Debt,Dynamic,Moderate,0.90,590,2016-09-18,CRISIL Composite Bond,7.4,7.1,7.2,6.8,0.28,0.60,7.2,5000,1.0,"Actively adjusts portfolio duration.","Investors aiming for tactical duration play",Debt: LTCG with indexation
DT037,Gilt Advantage Stable AK,Debt,Gilt,Low-Moderate,0.50,760,2010-12-11,CRISIL Gilt,6.8,6.7,6.9,5.5,0.18,0.32,6.7,5000,1.0,"Long-term safe gilt exposure with moderate volatility.","Conservative long-term investors",Debt: LTCG with indexation
DT038,Tax Efficient Bond Fund AL,Debt,Tax Saving Bonds,Low,0.40,300,2009-03-02,CRISIL Gilt,4.7,5.1,5.3,4.4,0.08,0.30,5.0,1000,0.0,"Invests in tax-free government bonds for tax efficiency.","High tax bracket investors",Debt: Often tax-exempt interest
DT039,Money Market Ultra AM,Debt,Money Market,Low,0.22,980,2017-07-05,CRISIL Money Market,4.5,4.2,4.1,1.6,0.07,0.14,4.3,1000,0.0,"Short-term maturity instruments keeping volatility minimal.","Short-term surplus cash",Debt: Slab taxation
DT040,Corporate Medium Yield AN,Debt,Corporate Bond,Moderate,0.72,520,2014-01-09,CRISIL Corporate Bond,7.8,7.3,7.2,5.6,0.30,0.48,7.4,5000,1.0,"Medium-risk corporate credit exposure.","Stable income investors",Debt: LTCG with indexation
DT041,Treasury Income AO,Debt,Income Fund,Moderate,0.82,410,2013-04-16,CRISIL Income,7.4,7.1,7.3,6.0,0.25,0.52,7.2,5000,1.0,"Longer duration corporate and gilt blend.","Longer-term fixed income holders",Debt: LTCG with indexation
DT042,Government Floating Bond AP,Debt,Floating Rate Gilt,Low-Moderate,0.46,350,2018-06-11,CRISIL FRD,5.8,5.7,5.6,3.0,0.15,0.36,5.7,5000,0.5,"Government floating rate securities tracking benchmark yields.","Investors wanting floating exposure",Debt: Slab + LTCG indexation
DT043,Long-term PSU Bond Fund AQ,Debt,PSU Long Duration,Moderate,0.60,430,2011-11-22,CRISIL PSU Bond,7.6,7.3,7.4,6.9,0.25,0.48,7.4,5000,1.0,"PSU-backed long-dated bonds for steady income.","Investors with moderate risk",Debt: LTCG with indexation
DT044,Corporate Alpha Bond Fund AR,Debt,Credit Risk,High,1.35,380,2017-03-29,CRISIL Credit Risk,9.6,8.8,7.9,12.5,0.95,1.25,8.7,5000,2.0,"High-risk credit strategy targeting high coupon bonds.","Investors seeking high yield",Debt: Slab + LTCG indexation
DT045,Short Gilt Benchmark AS,Debt,Gilt Short Duration,Low,0.35,410,2015-08-07,CRISIL Short Gilt,5.8,5.6,5.7,2.8,0.10,0.25,5.7,5000,0.0,"Short maturity government papers reducing duration risk.","Conservative investors",Debt: Slab + LTCG indexation
DT046,Medium Corporate Ladder AT,Debt,Medium Duration,Moderate,0.70,820,2013-10-24,CRISIL Composite Bond,7.1,6.9,7.0,6.2,0.24,0.52,6.9,5000,1.0,"Staggered maturities reduce reinvestment volatility.","Medium-term planning",Debt: LTCG with indexation
DT047,Income Allocation AU,Debt,Income Fund,Moderate,0.78,590,2012-05-12,CRISIL Income,7.3,7.0,7.2,6.1,0.23,0.50,7.1,5000,1.0,"Maintains high-quality corporate and gilt mix.","Steady long-term income seekers",Debt: LTCG with indexation
DT048,Government Secured Fund AV,Debt,Gilt,Low,0.48,720,2011-01-04,CRISIL Gilt,6.3,6.2,6.4,5.0,0.18,0.32,6.2,5000,1.0,"Pure gilts for safe long-term holding.","Low-risk investors",Debt: LTCG with indexation
DT049,Floating Corporate Fund AW,Debt,Floating Rate,Low-Moderate,0.52,330,2018-07-30,CRISIL FRD,6.1,5.8,5.7,3.6,0.14,0.38,5.8,5000,1.0,"Floating coupon corporate papers tracking benchmark yields.","Investors hedging rate risk",Debt: Slab + LTCG indexation
DT050,Short Term Yield Enhancer AX,Debt,Short Duration,Low,0.36,970,2016-09-08,CRISIL Short Duration,6.4,6.1,6.0,3.0,0.12,0.26,6.1,5000,0.5,"Short duration fund with slight credit tilt.","Investors targeting slightly higher returns than banking deposits",Debt: Slab + LTCG indexation
DT051,Long Term Strategic Bond AY,Debt,Long Duration,High,0.85,540,2014-06-03,CRISIL Long Duration,9.0,9.3,9.5,12.2,0.42,1.08,9.2,5000,1.0,"Long duration strategy with high interest rate sensitivity.","Investors comfortable with long-term volatility",Debt: LTCG with indexation
DT052,Ultra Safe Treasury Fund AZ,Debt,Liquid,Low,0.18,2200,2013-04-14,CRISIL Liquid,4.2,4.0,3.9,1.2,0.05,0.10,4.1,1000,0.0,"Very low risk liquid fund.","Short-term liquidity and treasury operations",Debt: Slab taxation
DT053,Corporate Prime Yield BA,Debt,Corporate Bond,Moderate,0.70,1650,2012-01-19,CRISIL Corporate Bond,7.7,7.3,7.5,5.0,0.26,0.46,7.4,5000,1.0,"Prime-rated corporate securities for steady yield.","Moderate-risk income seekers",Debt: LTCG with indexation
DT054,Money Market Select BB,Debt,Money Market,Low,0.24,940,2017-11-11,CRISIL Money Market,4.6,4.3,4.2,1.5,0.06,0.14,4.3,1000,0.0,"Money market instruments with minimal volatility.","Short-term surplus parking",Debt: Slab taxation
DT055,Dynamic Duration Bond BC,Debt,Dynamic,Moderate,0.88,540,2016-12-20,CRISIL Composite Bond,7.2,7.0,7.1,6.5,0.24,0.58,7.1,5000,1.0,"Active duration management.","Moderate-risk tactical debt investors",Debt: LTCG with indexation
DT056,Long Gilt Plus BD,Debt,Long Gilt,High,0.62,340,2013-07-30,CRISIL Long Gilt,9.2,9.5,9.8,14.8,0.50,1.18,9.3,5000,1.5,"Long-term gilts with high volatility.","Rate-sensitive long horizon investors",Debt: LTCG with indexation
DT057,Blend Corporate Strategy BE,Debt,Corporate Bond,Moderate,0.68,820,2014-02-15,CRISIL Corporate Bond,7.5,7.2,7.3,5.4,0.28,0.48,7.3,5000,1.0,"Blend portfolio of AAA and AA bonds.","Investors seeking balance of yield + safety",Debt: LTCG with indexation
DT058,Income Secure Bond BF,Debt,Income Fund,Moderate,0.80,600,2012-10-01,CRISIL Income,7.4,7.0,7.2,6.0,0.25,0.52,7.2,5000,1.0,"Income-oriented portfolio with diversified debt papers.","Steady income seekers",Debt: LTCG with indexation
DT059,Floating PSU Fund BG,Debt,Floating Rate,Low-Moderate,0.48,410,2018-01-18,CRISIL FRD,6.2,5.9,5.8,3.7,0.12,0.36,5.9,5000,0.5,"Floating rate PSU bonds.","Investors seeking floating interest exposure",Debt: Slab taxation
DT060,Treasury Short Duration BH,Debt,Short Duration,Low,0.36,780,2016-05-05,CRISIL Short Duration,6.3,6.0,6.1,3.3,0.14,0.28,6.0,5000,0.5,"Short-duration treasury-focused strategy.","Short-term low-risk investors",Debt: Slab + indexation
DT061,Medium Maturity Corporate BI,Debt,Medium Duration,Moderate,0.68,620,2013-09-16,CRISIL Composite Bond,7.1,6.9,7.0,6.1,0.22,0.48,6.9,5000,1.0,"Stable medium duration bonds portfolio.","3–5 year planning",Debt: LTCG with indexation
DT062,Corporate Hybrid Bond BJ,Debt,Corporate Bond,High,1.10,340,2017-06-24,CRISIL Corporate Bond,8.8,8.0,7.6,9.8,0.60,0.90,8.2,5000,1.5,"Higher-yield corporate debt with selective credit risk.","Aggressive debt investors",Debt: Slab + indexation
DT063,Ultra Liquid Plus BK,Debt,Liquid+,Low,0.20,2700,2014-01-12,CRISIL Liquid,4.3,4.1,3.9,1.3,0.05,0.10,4.1,1000,0.0,"Enhanced liquid strategy for slightly higher yields.","Treasury & short-term investors",Debt: Slab taxation
DT064,Tactical Corporate BL,Debt,Dynamic,Moderate,0.88,580,2016-10-19,CRISIL Composite Bond,7.4,7.2,7.1,6.6,0.26,0.58,7.2,5000,1.0,"Tactical shifts between corporate and gilt.","Moderate-risk tactical investors",Debt: LTCG with indexation
DT065,Govt Securities Balanced BM,Debt,Gilt,Low,0.46,710,2011-05-22,CRISIL Gilt,6.4,6.3,6.4,5.2,0.18,0.34,6.3,5000,1.0,"Balanced long + short gilt positions.","Low-risk long-term investors",Debt: LTCG with indexation
